student_id,grade,section_id,course,period
S00001,12,SEC00337,Physical Education,4
S00001,12,SEC00224,Government,7
S00001,12,SEC00122,Environmental Science,3
S00001,12,SEC00176,English IV,8
S00001,12,SEC00274,Spanish II,1
S00001,12,SEC00241,Economics,5
S00001,12,SEC00087,Chemistry,2
S00002,9,SEC00033,Algebra II,6
S00002,9,SEC00249,Spanish I,5
S00002,9,SEC00140,English II,5
S00002,9,SEC00205,U.S. History,1
S00002,9,SEC00191,World History,8
S00002,9,SEC00274,Spanish II,1
S00002,9,SEC00054,Precalculus,2
S00003,11,SEC00125,English I,1
S00003,11,SEC00166,English III,5
S00003,11,SEC00316,Band,6
S00003,11,SEC00326,Theater,7
S00003,11,SEC00062,Calculus,3
S00003,11,SEC00290,French I,6
S00003,11,SEC00141,English II,8
S00004,9,SEC00026,Geometry,2
S00004,9,SEC00286,French I,3
S00004,9,SEC00295,Computer Science,6
S00004,9,SEC00227,Government,4
S00004,9,SEC00261,Spanish I,3
S00004,9,SEC00342,Physical Education,5
S00004,9,SEC00040,Algebra II,5
S00005,12,SEC00255,Spanish I,8
S00005,12,SEC00081,Biology,4
S00005,12,SEC00312,Art,5
S00005,12,SEC00156,English III,2
S00005,12,SEC00198,World History,2
S00005,12,SEC00011,Algebra I,3
S00005,12,SEC00021,Geometry,8
S00006,10,SEC00247,Spanish I,7
S00006,10,SEC00180,English IV,2
S00006,10,SEC00126,English I,1
S00006,10,SEC00333,Physical Education,2
S00006,10,SEC00221,Government,6
S00006,10,SEC00038,Algebra II,7
S00006,10,SEC00005,Algebra I,3
S00007,9,SEC00191,World History,8
S00007,9,SEC00037,Algebra II,6
S00007,9,SEC00134,English I,3
S00007,9,SEC00090,Chemistry,8
S00007,9,SEC00306,Art,3
S00007,9,SEC00318,Band,5
S00007,9,SEC00300,Computer Science,2
S00008,11,SEC00110,Environmental Science,4
S00008,11,SEC00267,Spanish II,5
S00008,11,SEC00292,French I,4
S00008,11,SEC00178,English IV,5
S00008,11,SEC00203,U.S. History,8
S00008,11,SEC00078,Biology,8
S00008,11,SEC00337,Physical Education,4
S00009,12,SEC00202,U.S. History,7
S00009,12,SEC00320,Band,4
S00009,12,SEC00264,Spanish II,4
S00009,12,SEC00285,French I,3
S00009,12,SEC00131,English I,2
S00009,12,SEC00144,English II,1
S00009,12,SEC00064,Calculus,8
S00010,10,SEC00307,Art,7
S00010,10,SEC00071,Calculus,7
S00010,10,SEC00055,Precalculus,2
S00010,10,SEC00044,Algebra II,6
S00010,10,SEC00324,Theater,6
S00010,10,SEC00258,Spanish I,6
S00010,10,SEC00340,Physical Education,8
S00011,9,SEC00346,Physical Education,2
S00011,9,SEC00124,English I,8
S00011,9,SEC00076,Biology,5
S00011,9,SEC00167,English III,5
S00011,9,SEC00314,Band,1
S00011,9,SEC00330,Theater,5
S00011,9,SEC00255,Spanish I,8
S00012,11,SEC00153,English III,2
S00012,11,SEC00030,Algebra II,2
S00012,11,SEC00205,U.S. History,1
S00012,11,SEC00294,Computer Science,7
S00012,11,SEC00308,Art,8
S00012,11,SEC00330,Theater,5
S00012,11,SEC00054,Precalculus,2
S00013,9,SEC00160,English III,1
S00013,9,SEC00295,Computer Science,6
S00013,9,SEC00082,Biology,3
S00013,9,SEC00286,French I,3
S00013,9,SEC00323,Theater,8
S00013,9,SEC00057,Calculus,7
S00013,9,SEC00331,Physical Education,3
S00014,11,SEC00207,U.S. History,1
S00014,11,SEC00046,Precalculus,1
S00014,11,SEC00295,Computer Science,6
S00014,11,SEC00169,English IV,3
S00014,11,SEC00277,French I,7
S00014,11,SEC00102,Physics,6
S00014,11,SEC00087,Chemistry,2
S00015,12,SEC00311,Art,3
S00015,12,SEC00059,Calculus,3
S00015,12,SEC00224,Government,7
S00015,12,SEC00130,English I,6
S00015,12,SEC00303,Computer Science,3
S00015,12,SEC00336,Physical Education,2
S00015,12,SEC00022,Geometry,6
S00016,10,SEC00233,Economics,7
S00016,10,SEC00336,Physical Education,2
S00016,10,SEC00141,English II,8
S00016,10,SEC00011,Algebra I,3
S00016,10,SEC00033,Algebra II,6
S00016,10,SEC00121,Environmental Science,7
S00016,10,SEC00051,Precalculus,5
S00017,10,SEC00038,Algebra II,7
S00017,10,SEC00218,Government,5
S00017,10,SEC00286,French I,3
S00017,10,SEC00207,U.S. History,1
S00017,10,SEC00054,Precalculus,2
S00017,10,SEC00102,Physics,6
